t,V,theta,r,phi,alpha,m
0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000,-0.6397822818,1.0000000000
0.0000316979,1.0000020343,-0.0000015139,1.0000000000,0.0000316979,-0.6397890076,0.9999999842
0.0000633957,1.0000040687,-0.0000030276,0.9999999999,0.0000633959,-0.6397957334,0.9999999683
0.0000950936,1.0000061031,-0.0000045413,0.9999999998,0.0000950939,-0.6398024591,0.9999999525
0.0001267915,1.0000081375,-0.0000060548,0.9999999996,0.0001267920,-0.6398091849,0.9999999366
0.0002852808,1.0000183103,-0.0000136207,0.9999999981,0.0002852834,-0.6398428141,0.9999998574
0.0004437701,1.0000284840,-0.0000211836,0.9999999953,0.0004437764,-0.6398764434,0.9999997781
0.0006022594,1.0000386587,-0.0000287436,0.9999999913,0.0006022711,-0.6399100729,0.9999996989
0.0007607487,1.0000488343,-0.0000363005,0.9999999862,0.0007607673,-0.6399437027,0.9999996196
0.0015531953,1.0000997264,-0.0000740411,0.9999999425,0.0015532728,-0.6401118549,0.9999992234
0.0023456419,1.0001506421,-0.0001117077,0.9999998688,0.0023458187,-0.6402800125,0.9999988272
0.0031380885,1.0002015812,-0.0001493003,0.9999997654,0.0031384049,-0.6404481756,0.9999984310
0.0039305351,1.0002525438,-0.0001868189,0.9999996322,0.0039310317,-0.6406163441,0.9999980347
0.0078927681,1.0005077056,-0.0003733012,0.9999985215,0.0078947739,-0.6414572685,0.9999960536
0.0118550011,1.0007634437,-0.0005579315,0.9999966748,0.0118595338,-0.6422983284,0.9999940725
0.0158172341,1.0010197504,-0.0007407085,0.9999940991,0.0158253165,-0.6431395229,0.9999920914
0.0197794670,1.0012766183,-0.0009216306,0.9999908014,0.0197921271,-0.6439808511,0.9999901103
0.0306174035,1.0019820375,-0.0014070225,0.9999781491,0.0306478747,-0.6462828217,0.9999846913
0.0414553400,1.0026914441,-0.0018785002,0.9999602904,0.0415114481,-0.6485857700,0.9999792723
0.0522932766,1.0034046836,-0.0023360384,0.9999373695,0.0523829435,-0.6508896789,0.9999738534
0.0631312131,1.0041216012,-0.0027796140,0.9999095307,0.0632624542,-0.6531945314,0.9999684344
0.0749074619,1.0049045762,-0.0032457391,0.9998738759,0.0750930682,-0.6556999801,0.9999625463
0.0866837107,1.0056915122,-0.0036953277,0.9998327730,0.0869333642,-0.6582065008,0.9999566581
0.0984599595,1.0064822103,-0.0041283565,0.9997864092,0.0987834503,-0.6607140716,0.9999507700
0.1102362083,1.0072764714,-0.0045448044,0.9997349727,0.1106434302,-0.6632226706,0.9999448819
0.1227024657,1.0081209317,-0.0049675661,0.9996752048,0.1232092159,-0.6658793526,0.9999386488
0.1351687232,1.0089689249,-0.0053717067,0.9996101885,0.1357863134,-0.6685371363,0.9999324156
0.1476349807,1.0098202144,-0.0057572098,0.9995401493,0.1483748306,-0.6711959959,0.9999261825
0.1601012382,1.0106745634,-0.0061240620,0.9994653135,0.1609748700,-0.6738559052,0.9999199494
0.1738167163,1.0116177770,-0.0065061151,0.9993777077,0.1748509637,-0.6767835411,0.9999130916
0.1875321945,1.0125640914,-0.0068655695,0.9992848736,0.1887412438,-0.6797123817,0.9999062339
0.2012476727,1.0135131909,-0.0072024195,0.9991871154,0.2026458240,-0.6826423925,0.9998993762
0.2149631509,1.0144647595,-0.0075166639,0.9990847381,0.2165648101,-0.6855735389,0.9998925184
0.2319624323,1.0156471089,-0.0078747785,0.9989518975,0.2338364622,-0.6892079937,0.9998840188
0.2489617136,1.0168321640,-0.0081981871,0.9988130155,0.2511305628,-0.6928440741,0.9998755191
0.2659609950,1.0180193232,-0.0084869148,0.9986686782,0.2684472616,-0.6964817141,0.9998670195
0.2829602763,1.0192079848,-0.0087409973,0.9985194730,0.2857866887,-0.7001208480,0.9998585199
0.2957459678,1.0201026409,-0.0089092997,0.9984043997,0.2988432581,-0.7028588989,0.9998521270
0.3085316592,1.0209975510,-0.0090580523,0.9982871569,0.3119127876,-0.7055977297,0.9998457342
0.3213173506,1.0218924595,-0.0091872817,0.9981679963,0.3249953107,-0.7083373122,0.9998393413
0.3341030421,1.0227871108,-0.0092970180,0.9980471696,0.3380908544,-0.7110776185,0.9998329485
0.3468887335,1.0236812499,-0.0093872942,0.9979249289,0.3511994393,-0.7138186205,0.9998265556
0.3596744249,1.0245746217,-0.0094581471,0.9978015266,0.3643210795,-0.7165602903,0.9998201628
0.3724601164,1.0254669715,-0.0095096165,0.9976772153,0.3774557827,-0.7193025999,0.9998137699
0.3852458078,1.0263580449,-0.0095417455,0.9975522477,0.3906035502,-0.7220455211,0.9998073771
0.3967952418,1.0271616513,-0.0095541810,0.9974390094,0.4024912770,-0.7245237299,0.9998016024
0.4083446758,1.0279638220,-0.0095509099,0.9973256282,0.4143896511,-0.7270023944,0.9997958277
0.4198941098,1.0287643703,-0.0095319711,0.9972122905,0.4262986594,-0.7294814938,0.9997900529
0.4314435438,1.0295631099,-0.0094974057,0.9970991827,0.4382182848,-0.7319610076,0.9997842782
0.4422811324,1.0303108089,-0.0094507976,0.9969934213,0.4494128844,-0.7342880559,0.9997788594
0.4531187211,1.0310565981,-0.0093905054,0.9968881803,0.4606167920,-0.7366154337,0.9997734406
0.4639563097,1.0318003245,-0.0093165683,0.9967836135,0.4718299827,-0.7389431241,0.9997680218
0.4747938983,1.0325418353,-0.0092290273,0.9966798746,0.4830524280,-0.7412711099,0.9997626031
0.4851596288,1.0332488479,-0.0091326088,0.9965815686,0.4937948886,-0.7434979982,0.9997574202
0.4955253594,1.0339535612,-0.0090238230,0.9964842946,0.5045457557,-0.7457251263,0.9997522373
0.5058910899,1.0346558425,-0.0089027103,0.9963881869,0.5153049954,-0.7479524793,0.9997470545
0.5162568204,1.0353555595,-0.0087693123,0.9962933793,0.5260725711,-0.7501800421,0.9997418716
0.5262677392,1.0360287677,-0.0086288591,0.9962031765,0.5364794560,-0.7523315423,0.9997368661
0.5362786580,1.0366993424,-0.0084770277,0.9961144314,0.5468940409,-0.7544832109,0.9997318607
0.5462895767,1.0373671656,-0.0083138593,0.9960272641,0.5573162850,-0.7566350345,0.9997268552
0.5563004955,1.0380321193,-0.0081393967,0.9959417945,0.5677461450,-0.7587869996,0.9997218498
0.5660267134,1.0386753027,-0.0079591202,0.9958604950,0.5778866405,-0.7608778877,0.9997169866
0.5757529312,1.0393155595,-0.0077682653,0.9957810205,0.5880342373,-0.7629688843,0.9997121235
0.5854791491,1.0399527826,-0.0075668747,0.9957034803,0.5981888886,-0.7650599772,0.9997072604
0.5952053670,1.0405868654,-0.0073549918,0.9956279833,0.6083505456,-0.7671511540,0.9997023973
0.6046945149,1.0412023650,-0.0071382044,0.9955563997,0.6182712218,-0.7691914289,0.9996976527
0.6141836627,1.0418146764,-0.0069115150,0.9954869654,0.6281984680,-0.7712317604,0.9996929082
0.6236728106,1.0424237016,-0.0066749671,0.9954197807,0.6381322325,-0.7732721371,0.9996881636
0.6331619585,1.0430293434,-0.0064286052,0.9953549460,0.6480724617,-0.7753125476,0.9996834190
0.6424488726,1.0436187083,-0.0061780351,0.9952938645,0.6578070493,-0.7773094944,0.9996787756
0.6517357868,1.0442046490,-0.0059181519,0.9952352229,0.6675477214,-0.7793064518,0.9996741321
0.6610227010,1.0447870754,-0.0056490001,0.9951791143,0.6772944216,-0.7813034091,0.9996694886
0.6703096151,1.0453658979,-0.0053706251,0.9951256315,0.6870470922,-0.7833003555,0.9996648452
0.6794210781,1.0459301965,-0.0050885905,0.9950758004,0.6966212568,-0.7852595542,0.9996602895
0.6885325411,1.0464908563,-0.0047977668,0.9950286728,0.7062010523,-0.7872187220,0.9996557337
0.6976440041,1.0470477939,-0.0044981997,0.9949843356,0.7157864188,-0.7891778488,0.9996511780
0.7067554671,1.0476009264,-0.0041899351,0.9949428750,0.7253772946,-0.7911369243,0.9996466223
0.7157128438,1.0481409156,-0.0038784512,0.9949050030,0.7348112854,-0.7930628098,0.9996421436
0.7246702205,1.0486770696,-0.0035586524,0.9948700759,0.7442504774,-0.7949886263,0.9996376649
0.7336275971,1.0492093109,-0.0032305850,0.9948381745,0.7536948071,-0.7969143644,0.9996331862
0.7425849738,1.0497375626,-0.0028942959,0.9948093797,0.7631442096,-0.7988400142,0.9996287075
0.7514058049,1.0502537883,-0.0025551450,0.9947841378,0.7724544585,-0.8007362141,0.9996242971
0.7602266360,1.0507659982,-0.0022081137,0.9947620628,0.7817694967,-0.8026323100,0.9996198867
0.7690474670,1.0512741200,-0.0018532490,0.9947432308,0.7910892576,-0.8045282927,0.9996154763
0.7778682981,1.0517780822,-0.0014905986,0.9947277172,0.8004136730,-0.8064241529,0.9996110659
0.7865673263,1.0522709420,-0.0011253779,0.9947157415,0.8096138224,-0.8082937052,0.9996067163
0.7952663545,1.0527596192,-0.0007526793,0.9947071383,0.8188183628,-0.8101631207,0.9996023668
0.8039653826,1.0532440464,-0.0003725504,0.9947019792,0.8280272247,-0.8120323905,0.9995980173
0.8126644108,1.0537241568,0.0000149604,0.9947003352,0.8372403371,-0.8139015058,0.9995936678
0.8212542702,1.0541939413,0.0004048038,0.9947022301,0.8463419294,-0.8157470044,0.9995893729
0.8298441295,1.0546593887,0.0008017492,0.9947076890,0.8554475248,-0.8175923353,0.9995850779
0.8384339889,1.0551204360,0.0012057484,0.9947167791,0.8645570511,-0.8194374899,0.9995807830
0.8470238482,1.0555770210,0.0016167522,0.9947295674,0.8736704350,-0.8212824599,0.9995764881
0.8555155475,1.0560239416,0.0020298958,0.9947459095,0.8826833947,-0.8231061567,0.9995722422
0.8640072468,1.0564663817,0.0024497878,0.9947659945,0.8916999778,-0.8249296564,0.9995679964
0.8724989460,1.0569042825,0.0028763793,0.9947898856,0.9007201098,-0.8267529510,0.9995637505
0.8809906453,1.0573375857,0.0033096204,0.9948176458,0.9097437148,-0.8285760321,0.9995595047
0.8893939140,1.0577617942,0.0037448469,0.9948489872,0.9186766936,-0.8303799099,0.9995553030
0.8977971827,1.0581813887,0.0041864871,0.9948842390,0.9276129225,-0.8321835627,0.9995511014
0.9062004514,1.0585963143,0.0046344912,0.9949234609,0.9365523246,-0.8339869825,0.9995468998
0.9146037201,1.0590065169,0.0050888090,0.9949667122,0.9454948221,-0.8357901614,0.9995426981
0.9229272685,1.0594081191,0.0055449910,0.9950135833,0.9543554576,-0.8375759886,0.9995385364
0.9312508170,1.0598049829,0.0060072680,0.9950645224,0.9632189746,-0.8393615639,0.9995343746
0.9395743654,1.0601970575,0.0064755896,0.9951195857,0.9720852944,-0.8411468796,0.9995302128
0.9478979138,1.0605842920,0.0069499051,0.9951788291,0.9809543370,-0.8429319279,0.9995260510
0.9561496285,1.0609633579,0.0074259932,0.9952417421,0.9897494461,-0.8447012994,0.9995219252
0.9644013432,1.0613375698,0.0079078714,0.9953088714,0.9985470721,-0.8464703931,0.9995177993
0.9726530578,1.0617068798,0.0083954889,0.9953802703,1.0073471341,-0.8482392013,0.9995136735
0.9809047725,1.0620712412,0.0088887944,0.9954559913,1.0161495505,-0.8500077166,0.9995095476
0.9890918641,1.0624278124,0.0093838070,0.9955354423,1.0248852764,-0.8517620849,0.9995054541
0.9972789558,1.0627794214,0.0098843170,0.9956192500,1.0336231570,-0.8535161500,0.9995013605
1.0054660474,1.0631260241,0.0103902730,0.9957074644,1.0423631099,-0.8552699046,0.9994972670
1.0136531391,1.0634675766,0.0109016233,0.9958001352,1.0511050516,-0.8570233414,0.9994931734
1.0219238347,1.0638074452,0.0114236194,0.9958983272,1.0599381970,-0.8587943535,0.9994890381
1.0301945304,1.0641420723,0.0119510130,0.9960011672,1.0687731984,-0.8605650262,0.9994849027
1.0384652261,1.0644714145,0.0124837496,0.9961087050,1.0776099673,-0.8623353518,0.9994807674
1.0467359217,1.0647954293,0.0130217741,0.9962209897,1.0864484142,-0.8641053227,0.9994766320
1.0552513975,1.0651234231,0.0135811885,0.9963416084,1.0955501025,-0.8659272994,0.9994723743
1.0637668733,1.0654456800,0.0141460888,0.9964673631,1.1046533744,-0.8677488838,0.9994681166
1.0722823490,1.0657621556,0.0147164136,0.9965983056,1.1137581295,-0.8695700676,0.9994638588
1.0807978248,1.0660728062,0.0152921011,0.9967344873,1.1228642666,-0.8713908427,0.9994596011
1.0895408206,1.0663856515,0.0158886843,0.9968798115,1.1322150358,-0.8732598319,0.9994552296
1.0982838163,1.0666922657,0.0164907872,0.9970307660,1.1415670424,-0.8751283726,0.9994508581
1.1070268121,1.0669926041,0.0170983416,0.9971874042,1.1509201739,-0.8769964557,0.9994464866
1.1157698078,1.0672866227,0.0177112788,0.9973497789,1.1602743169,-0.8788640722,0.9994421151
1.1247260445,1.0675812147,0.0183446745,0.9975221163,1.1698575358,-0.8807767467,0.9994376370
1.1336822811,1.0678690846,0.0189835716,0.9977005831,1.1794415721,-0.8826889125,0.9994331589
1.1426385177,1.0681501880,0.0196278946,0.9978852336,1.1890263009,-0.8846005601,0.9994286807
1.1515947543,1.0684244815,0.0202775681,0.9980761213,1.1986115964,-0.8865116799,0.9994242026
1.1607533768,1.0686978868,0.0209473762,0.9982778278,1.2084139466,-0.8884654297,0.9994196233
1.1699119992,1.0689640824,0.0216226177,0.9984861671,1.2182166203,-0.8904186072,0.9994150440
1.1790706216,1.0692230252,0.0223032105,0.9987011940,1.2280194799,-0.8923712020,0.9994104647
1.1882292441,1.0694746732,0.0229890717,0.9989229619,1.2378223871,-0.8943232039,0.9994058854
1.1975822069,1.0697240897,0.0236948373,0.9991564477,1.2478332104,-0.8963160034,0.9994012089
1.2069351697,1.0699658135,0.0244059217,0.9993970737,1.2578437886,-0.8983081629,0.9993965324
1.2162881326,1.0701998032,0.0251222352,0.9996448943,1.2678539716,-0.9002996714,0.9993918559
1.2256410954,1.0704260189,0.0258436880,0.9998999623,1.2778636083,-0.9022905178,0.9993871795
1.2351827251,1.0706487469,0.0265848961,1.0001676979,1.2880744375,-0.9043208298,0.9993824086
1.2447243548,1.0708633041,0.0273312627,1.0004430847,1.2982843777,-0.9063504298,0.9993776378
1.2542659845,1.0710696519,0.0280826910,1.0007261756,1.3084932657,-0.9083793061,0.9993728670
1.2638076142,1.0712677534,0.0288390840,1.0010170225,1.3187009377,-0.9104074471,0.9993680962
1.2735343012,1.0714611723,0.0296151561,1.0013215458,1.3291051624,-0.9124741544,0.9993632328
1.2832609883,1.0716459484,0.0303961823,1.0016342340,1.3395077771,-0.9145400732,0.9993583695
1.2929876754,1.0718220469,0.0311820586,1.0019551382,1.3499086055,-0.9166051911,0.9993535062
1.3027143624,1.0719894344,0.0319726807,1.0022843083,1.3603074710,-0.9186694958,0.9993486428
1.3126243430,1.0721509846,0.0327829739,1.0026282327,1.3709000943,-0.9207718519,0.9993436878
1.3225343235,1.0723034273,0.0335979736,1.0029808379,1.3814903074,-0.9228733381,0.9993387328
1.3324443041,1.0724467321,0.0344175685,1.0033421725,1.3920779212,-0.9249739412,0.9993337778
1.3423542846,1.0725808702,0.0352416466,1.0037122837,1.4026627462,-0.9270736481,0.9993288229
1.3524474936,1.0727080377,0.0360854541,1.0040983070,1.4134402135,-0.9292112426,0.9993237763
1.3625407025,1.0728256413,0.0369336775,1.0044935287,1.4242143891,-0.9313478803,0.9993187296
1.3726339115,1.0729336558,0.0377861980,1.0048979944,1.4349850710,-0.9334835473,0.9993136830
1.3827271204,1.0730320577,0.0386428966,1.0053117478,1.4457520567,-0.9356182299,0.9993086364
1.3930050990,1.0731223606,0.0395194482,1.0057426634,1.4567121386,-0.9377909648,0.9993034975
1.4032830777,1.0732026523,0.0404000824,1.0061832967,1.4676679630,-0.9399626502,0.9992983585
1.4135610563,1.0732729140,0.0412846729,1.0066336889,1.4786193149,-0.9421332713,0.9992932195
1.4238390349,1.0733331285,0.0421730931,1.0070938796,1.4895659793,-0.9443028138,0.9992880805
