t,V,theta_rad,r,phi_rad,alpha_rad,m
0.000000,1.000000,0.000000,1.000000,0.000000,-0.628534,1.000000
0.609257,1.041638,-0.006537,0.995674,0.623076,-0.762795,0.999695
1.218514,1.070158,0.026207,1.000321,1.270062,-0.896877,0.999391
1.827771,1.067234,0.079786,1.034436,1.912762,-1.027634,0.999086
2.437028,1.033234,0.129963,1.102201,2.511193,-1.151924,0.998781
3.046285,0.982551,0.160087,1.192164,3.042055,-1.266599,0.998477
3.655542,0.929719,0.164995,1.287593,3.505723,-1.368517,0.998172
4.264799,0.883401,0.146531,1.374218,3.915109,-1.454531,0.997868
4.874057,0.847758,0.109190,1.442159,4.285664,-1.521496,0.997563
5.483314,0.824932,0.058342,1.485238,4.631543,-1.566269,0.997258
6.092571,0.816497,0.000000,1.499998,4.965292,-1.585704,0.996954
